2018-06-11 16:25:17 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:25:24 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"16.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:25:33 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:26:35 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"6.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:26:36 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"32.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:26:43 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:26:51 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"10.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:26:55 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"6.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:27:58 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"16.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:27:59 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"10.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:07 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"10.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:15 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"12.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:34 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:40 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"10.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:44 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"8.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:45 - NOTICE --> PDF Settings Errors {"original":[{"setting":"general","code":"settings_updated","message":"Permalink structure updated.","type":"updated"}],"cleaned":[{"setting":"general","code":"settings_updated","message":"Permalink structure updated.","type":"updated"}]} {"memory_peak_usage":"4.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Settings.php","line":194,"class":"GFPDF\\Model\\Model_Settings","function":"setup_form_settings_errors"}
2018-06-11 16:28:45 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"6.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:28:49 - NOTICE --> PDF Settings Errors {"original":[{"setting":"general","code":"settings_updated","message":"Permalink structure updated.","type":"updated"}],"cleaned":[{"setting":"general","code":"settings_updated","message":"Permalink structure updated.","type":"updated"}]} {"memory_peak_usage":"4.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Settings.php","line":194,"class":"GFPDF\\Model\\Model_Settings","function":"setup_form_settings_errors"}
2018-06-11 16:29:05 - NOTICE --> PDF Settings Errors {"original":[{"setting":"general","code":"settings_updated","message":"Settings saved.","type":"updated"}],"cleaned":[{"setting":"general","code":"settings_updated","message":"Settings saved.","type":"updated"}]} {"memory_peak_usage":"6.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Settings.php","line":194,"class":"GFPDF\\Model\\Model_Settings","function":"setup_form_settings_errors"}
